爬取时间(__time),爬取链接(__url),股票代码(symbol),股票名称(name),当前价(current),涨跌幅(percentage),涨跌额(change),今开(open),最高(high),最低(low),今收(close),昨收(last_close),52周最高(high52w),52周最低(low52week),成交量(volume),平均成交量(volumeAverage),总市值(marketCapital),每股收益(eps),市盈率TTM(pe_ttm),市盈率LYR(pe_lyr),总股本(totalShares),收盘时间(time),更新日期(updateAt),每股股息(dividend),收益率(yield),周转率(turnover_rate),涨停价(rise_stop),跌停价(fall_stop),货币单位(currency_unit),成交额(amount),每股净资产(net_assets),振幅(amplitude),每手股数(lot_size),流通股本(float_shares),流通市值(float_market_capital),市净率TTM(pb),市销率TTM(psr),关注数(fans),
"2018-08-23 01:02:34","http://xueqiu.com/v4/stock/quote.json?code=SGXCN","SGXCN","新华富时中国A50指数","11219.76","-0.25%","-28.11","11247.87","11283.49","11167.81","11219.76","11247.87","14939.48","10805.02","0.0","","0.0","0.0","","","","Wed Aug 22 15:01:00 -0400 2018","1534924800982","0.0","0.0%","%","0.0","0.0","USD","0.0","0.0","1.42%","","","0.0","0.0","[]","9879",
"2018-08-23 01:02:32","http://xueqiu.com/v4/stock/quote.json?code=SH900957","SH900957","凌云B股","0.616","-0.81%","-0.005","0.612","0.623","0.612","0.616","0.621","1.154","0.553","171000.0","3382819","2.14984E8","0.007","39.683","48.995","349000000","Wed Aug 22 14:54:22 +0800 2018","1510209045857","0.0","0.0%","0.09%","0.683","0.559","USD","105478.0","0.1848","1.77%","100","184000000","1.13344E8","3.33","12.9675","1005",
"2018-08-23 01:02:31","http://xueqiu.com/v4/stock/quote.json?code=SH900956","SH900956","东贝B股","1.162","-0.43%","-0.005","1.158","1.171","1.158","1.162","1.167","1.85","1.086","13500.0","2126780","2.7307E8","0.01","20.057","22.409","235000000","Wed Aug 22 15:00:00 +0800 2018","1493035205617","0.1","8.61%","0.01%","1.284","1.05","USD","15694.0","0.7233","1.11%","100","115000000","1.3363E8","1.61","0.4852","1153",
"2018-08-23 01:02:30","http://xueqiu.com/v4/stock/quote.json?code=SH900955","SH900955","海创B股","0.379","-0.26%","-0.001","0.374","0.381","0.373","0.379","0.38","0.578","0.312","89130.0","907698","4.940265E8","0.001","28.304","59.658","1303500000","Wed Aug 22 14:33:54 +0800 2018","1493035205612","0.0","0.0%","0.03%","0.418","0.342","USD","33582.0","0.178","2.11%","100","330000000","1.2507E8","2.13","133.507","3280",
"2018-08-23 01:02:29","http://xueqiu.com/v4/stock/quote.json?code=SH900953","SH900953","凯马B","0.587","-1.18%","-0.007","0.591","0.591","0.585","0.587","0.594","1.17","0.531","48300.0","3047562","3.7568E8","-0.001","127.081","91.524","640000000","Wed Aug 22 14:56:43 +0800 2018","1493035205607","0.0","0.0%","0.02%","0.653","0.535","USD","28442.0","0.1977","1.01%","100","240000000","1.4088E8","2.97","0.535","1480",
"2018-08-23 01:02:25","http://xueqiu.com/v4/stock/quote.json?code=SH900952","SH900952","锦港B股","0.387","-0.26%","-0.001","0.39","0.39","0.387","0.387","0.388","0.53","0.379","24300.0","1455633","7.748868105E8","0.003","36.381","37.062","2002291500","Wed Aug 22 14:53:50 +0800 2018","1499561044258","0.02","5.17%","0.01%","0.427","0.349","USD","9433.0","0.4427","0.77%","100","222806970","8.622629739E7","0.87","1.0436","3041",
"2018-08-23 01:02:23","http://xueqiu.com/v4/stock/quote.json?code=SH900951","SH900951","ST大化B","0.427","-0.7%","-0.003","0.432","0.432","0.426","0.427","0.43","0.948","0.398","116500.0","3000456","1.17425E8","-0.025","","27.895","275000000","Wed Aug 22 15:00:00 +0800 2018","1511352005444","0.0","0.0%","0.12%","0.452","0.409","USD","50155.0","0.0772","1.40%","100","100000000","4.27E7","5.53","1.0269","910",
"2018-08-23 01:02:22","http://xueqiu.com/v4/stock/quote.json?code=SH900948","SH900948","伊泰B股","1.200","-0.08%","-0.001","1.201","1.211","1.2","1.2","1.201","1.56","1.09","1277520.0","6957425","3.9048084E9","0.045","5.3","5.426","3254007000","Wed Aug 22 15:00:00 +0800 2018","1510120209128","0.47","39.17%","0.10%","1.321","1.081","USD","1539247.0","1.3308","0.92%","100","1328000000","1.5936E9","0.9","0.7002","8217",
"2018-08-23 01:02:19","http://xueqiu.com/v4/stock/quote.json?code=SH900947","SH900947","振华B股","0.396","0.0%","0.000","0.398","0.401","0.396","0.396","0.396","0.48","0.36","1283500.0","5264456","2.0862679864E9","0.003","44.985","47.566","5268353501","Wed Aug 22 15:00:00 +0800 2018","1508546686488","0.05","12.63%","0.07%","0.436","0.356","USD","512080.0","0.4176","1.26%","100","1946355840","7.7075691264E8","0.95","0.638","1648",
"2018-08-23 01:02:17","http://xueqiu.com/v4/stock/quote.json?code=SH900946","SH900946","天雁B股","0.326","0.0%","0.000","0.326","0.327","0.322","0.326","0.326","0.554","0.265","106501.0","2292672","3.1681248544E8","0.0","","","971817440","Wed Aug 22 14:54:56 +0800 2018","1493035205572","0.0","0.0%","0.05%","0.359","0.293","USD","34545.0","0.0863","1.53%","100","230000000","7.498E7","3.78","4.0288","2900",
