"细分类原则:
1.细分类的分割原则: 细分类具有显著的特征, 与其他细分类明显分割. 虽然有相似,但是关键词明显不同时, 可以考虑细分类. 
2.细分类的合并原则: 细分类共享部分或全部关键词. 必然合并.
 槽原则:
槽分为必须槽和可选槽. 
必须槽: 问题的必要槽条件, 比如天气的必须槽是 时间, 地点
可选槽: 可选槽是,并非一定存在的槽, 这种槽可以补充一些信息. 例如""漳州东山岛马銮湾附近有什么好吃的，求推荐, ""  ""附近"" 属于位置. 
但这个槽是不必要的. 模版中也未必需要体现出来 
",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
领域分类,分类归类,细分类,比较,示例,常见关键词,推荐,示例,问答,示例,观点,示例
旅行类,行前准备,安全,"时间
地点
项目","1.下个月去泰国旅游安全吗？
2.自驾旅游安全吗？
3.绿水尖滑雪怎么样安全吗？",安全,,,,,,
,,保险,"项目
地点
人员","1.旅途中应该怎么买保险？
2.去台湾旅行要买什么保险？
3.85岁外婆想去下台湾，请可以买保险吗？",保险,,,,,,
,,现金,"地点
店铺
行为
项目","1.三亚免税店可以使用现金付款吗？
2.到泰国旅游必须携带多少现金？","现金
付款",,,,,,
,,语言,"地点
民族",张家界土家族的语言是什么？,语言,,,,,,
,,汇率,"国家
币种","1.目前人民币对港元的汇率是多少
2.在菲律宾可以用美元兑换比索吗？","汇率
兑换",,,,,,
,,信用卡,"国家
酒店
信用卡类型","1.厦门万佳国际酒店可以用银联信用卡吗？
2.请问在老挝使用信用卡方便么？",信用卡,,,,,,
,,天气,"地点
时间
天气","1.保定七月天气怎么样？
2.桂林6月下雨多吗？","天气
",,,,,,
,,气温,"地点
时间
气温","1.杭州12月多少度？
2.辽宁冬天是不是很冷？","多少度
",,,,,,
,,摄影,"地点
景点
景观
时间
注意事项","1.去黄山拍日出要注意什么？
2.长春什么时候能拍到雾淞？",拍,,,,,,
,,文化,"地点
节日
时间
活动","1.云南泼水节是什么时候？
2.十二月云南都有什么活动？",,,,,,,
,,注意事项,"地点
景点
项目
时间","1.6月去贵州旅游该带些什么？
2.去九寨沟漂流前要准备什么？","带
准备",,,,,,
,,衣服,"地点
时间
衣服","1.十二月去东北要穿多厚的衣服？
2.桂林三月可以穿短袖吗？",穿,,,,,,
,,免费,"地点
景点
项目
条件
人员
酒店","1.上海星辉国际停车免费吗？
2.一米二以下小孩去西湖公园可以免票吗？","免费
免票",,,,,,
,,价格,"地点
酒店
区域
房间
住宿时长","1.北京大钟寺附近住一晚要多少钱？
2.酒仙桥如家双人间多少钱？",多少钱,,,,,,
,,攻略,"出发时间
游玩时间
地点
区域
目的
人数",,,,,,,,
,,购物,"地点
物品
价格
商店
位置
特殊要求",,,,,,,,
,,签证,"价格
所在国家
目标国家
办理地点
材料
费用
人员身份
已有签证
转机地点
签证入口
实际入口
出发时间
周期",,,,,,,,
,,住宿,"时间
地点
区域
宾馆
旅店
酒店
特殊要求
人数
安全
房间
住宿时长",,,,,,,,
,,地点,"目的地点
国家
地区
附近服务",,,,,,,,
,,路线,,,,,,,,,
,,时间,,,,,,,,,
,,物品使用,,,,,,,,,
,,通讯,"国家
区域
地点
产品
周期",,,,,,,,
,,车票,"地点
时间
周期
产品",,,,,,,,
,,文化,"地点
节日
时间
活动",,,,,,,,
,旅行中,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,行后,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
